,Street,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,County,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,count
13,4213 Tollcross Ln , Fort Worth, TX,76123,32.624939,-97.385268,1,rooftop,4213,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111017,3000,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
14,8713 S Normandale St , Fort Worth, TX,76116,32.727964,-97.468487,1,rooftop,8713,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105205,2004,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
15,9200 N Normandale St , Fort Worth, TX,76116,32.73534,-97.478731,1,rooftop,9200,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105204,2004,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
18,4321 Kyleigh Dr , Fort Worth, TX,76123,32.609201,-97.38733,1,rooftop,4321,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2049,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
19,4125 German Pointer Way , Fort Worth, TX,76123,32.607689,-97.383807,1,rooftop,4125,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2045,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
20,2160 Benning Way , Fort Worth, TX,76177,32.918122,-97.328407,1,rooftop,2160,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,6021,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
21,8200 Malabar Trl , Fort Worth, TX,76123,32.622982,-97.39579,1,rooftop,8200,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111017,3012,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
22,3848 German Pointer Way , Fort Worth, TX,76123,32.608107,-97.37783,1,rooftop,3848,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2022,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
23,5117 N Hampshire Blvd , Fort Worth, TX,76112,32.736395,-97.244582,1,rooftop,5117,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101403,4009,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
24,1636 Yorkshire St , Fort Worth, TX,76134,32.623384,-97.344212,1,rooftop,1636,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111005,4052,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
25,4700 Green Hollow Dr , Arlington, TX,76017,32.670141,-97.125537,1,rooftop,4700,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111516,2022,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
26,2100 E Loop 820 , Fort Worth, TX,76112,32.787452,-97.214806,0.9,rooftop,2100,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101201,1049,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
28,3928 Irish Setter Dr , Fort Worth, TX,76123,32.608855,-97.379449,1,rooftop,3928,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2023,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
29,3206 S Fielder Rd 104, Arlington, TX,76015,32.692813,-97.132934,1,rooftop,3206,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111552,1015,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
30,568 E Avenue J B, Grand Prairie, TX,75050,32.776671,-97.009389,0.33,place,,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Grand Prairie,4830464,15304,1021,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
31,9001 N Normandale St , Fort Worth, TX,76116,32.734186,-97.474849,1,rooftop,9001,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105204,2017,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
34,2612 Belzise Ter , Fort Worth, TX,76104,32.71411,-97.300672,1,rooftop,2612,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,103800,1051,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
35,9329 Goldenview Dr , Fort Worth, TX,76244,32.909345,-97.298126,1,rooftop,9329,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113922,6008,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
36,2625 Tuscan View Dr , Fort Worth, TX,76131,32.879897,-97.323,1,rooftop,2625,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,1034,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
37,1081 Silver Spur Ln , Fort Worth, TX,76179,32.844464,-97.380944,1,rooftop,1081,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,114008,4081,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
38,2153 Franks St , Fort Worth, TX,76177,32.916255,-97.327606,1,rooftop,2153,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,6027,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
39,2357 Clairborne Dr , Fort Worth, TX,76177,32.914224,-97.325073,1,rooftop,2357,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,3007,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
40,2132 Bliss Rd  , Fort Worth, TX,76177,32.918858,-97.32778,1,rooftop,2132,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,6023,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
41,11812 Gold Creek E Dr  , Fort Worth, TX,76244,32.944679,-97.26174,1,range_interpolation,11812,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,113929,1016,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
42,8651 Sumter Way , Fort Worth, TX,76244,32.898721,-97.303599,1,rooftop,8651,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113922,2014,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
43,1740 Quail Springs Cir , Fort Worth, TX,76177,32.905711,-97.333477,1,rooftop,1740,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,7009,7,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
44,3700 Verde Dr , Fort Worth, TX,76244,32.968461,-97.280372,1,rooftop,3700,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113928,2028,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
45,250 Pennsylvania Ave , Fort Worth, TX,76104,32.737822,-97.328239,1,range_interpolation,250,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,123600,1058,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
48,7237 Martha Ln , Fort Worth, TX,76112,32.748032,-97.202669,1,rooftop,7237,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106503,4022,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
49,4913 South Dr , Fort Worth, TX,76132,32.675798,-97.388238,1,rooftop,4913,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105505,1006,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
50,314 Tioga Dr , Arlington, TX,76002,32.61309,-97.113532,1,rooftop,314,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111550,2045,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
51,7608 ACAPULCO RD , FORT WORTH, TX,76112,32.743268,-97.191514,1,rooftop,7608,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106513,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
52,7508 Castillo Rd , Fort Worth, TX,76112,32.741779,-97.193741,1,rooftop,7508,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106513,2003,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
53,8308 Ohara Ln , Fort Worth, TX,76123,32.621889,-97.365997,1,rooftop,8308,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111012,3025,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
54,1812 Pelican Oval W , Azle, TX,76020,32.924691,-97.514763,1,rooftop,1812,Tarrant County,US,Tarrant County,2019,48,48439,Pelican Bay,4856640,114203,2021,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
55,1700 Crest Grove Dr  , Arlington, TX,76012,32.738,-97.133507,1,rooftop,1700,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,121604,4004,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
56,1618 Gale Drive , Azle, TX,76020,32.920214,-97.514659,1,rooftop,1618,Tarrant County,US,Tarrant County,2019,48,48439,Pelican Bay,4856640,114203,2006,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
57,2900 Broadmoor Drive , Fort Worth, TX,76116,32.730875,-97.455686,0.8,nearest_rooftop_match,2924,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105201,2000,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
59,7905 Rattlers Ct , Arlington, TX,76002,32.617764,-97.111438,1,rooftop,7905,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111550,2037,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
60,5733 Bonnell Ave , Fort Worth, TX,76107,32.723332,-97.40951,1,rooftop,5733,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,102500,3002,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
61,2411 Doreen St , Grand Prairie, TX,75050,32.742437,-97.039253,1,range_interpolation,2411,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Grand Prairie,4830464,113002,4007,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
62,601 Greystoke Dr  , Arlington, TX,76011,32.744009,-97.101683,1,rooftop,601,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,121704,2011,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
63,7851 S Collins St , Arlington, TX,76002,32.609046,-97.08706,1,rooftop,7851,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111310,1015,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
64,9125 Troy Dr , Fort Worth, TX,76123,32.609088,-97.385853,1,rooftop,9125,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2039,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
65,4008 Irish Setter Dr , Fort Worth, TX,76123,32.608864,-97.38159,1,rooftop,4008,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2053,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
66,2405 Hawkwood Ct , Fort Worth, TX,76123,32.63398,-97.356752,1,rooftop,2405,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111012,3000,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
67,3521 Clearbrook Dr , Fort Worth, TX,76123,32.617316,-97.372245,1,rooftop,3521,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2004,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
68,4636 Vista Meadows Dr , Fort Worth, TX,76244,32.920416,-97.28599,1,rooftop,4636,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113922,3021,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
69,4761 E Lancaster Ave 3BEDS, Fort Worth, TX,76103,32.741351,-97.250004,1,rooftop,4761,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101403,2006,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
72,1881 Glenda Ct , Azle, TX,76020,32.925355,-97.5211,1,rooftop,1881,Tarrant County,US,Tarrant County,2019,48,48439,Pelican Bay,4856640,114203,2024,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
73,8720 Saddle Ridge Cir , Fort Worth, TX,76123,32.614359,-97.379854,1,rooftop,8720,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2029,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
74,3924 Golden Horn Ln , Fort Worth, TX,76123,32.612064,-97.379777,1,rooftop,3924,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2027,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
75,8757 Stonebriar Ln , Fort Worth, TX,76123,32.613209,-97.380039,1,rooftop,8757,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2029,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
76,4121 Heirship Ct , Fort Worth, TX,76244,32.907695,-97.296857,1,rooftop,4121,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113922,5014,5,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
77,1021 Oak Grove Rd , Fort Worth, TX,76115,32.671955,-97.311921,0.9,rooftop,1021,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105901,3025,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
79,3536 Millet Ave , Fort Worth, TX,76105,32.722378,-97.273335,1,rooftop,3536,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,103701,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
80,1204 Lindale Ter , Azle, TX,76020,32.91348,-97.519091,1,rooftop,1204,Tarrant County,US,Tarrant County,2019,48,48439,Pelican Bay,4856640,114203,2036,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
81,4700 Huffines Blvd , FORT WORTH, TX,76135,32.823867,-97.406331,1,rooftop,4700,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,114007,4018,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
82,4701 CATAMARAN DR , FORT WORTH, TX,76135,32.824304,-97.405925,1,range_interpolation,4701,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,114007,4018,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
83,4710 CATAMARAN DR , FORT WORTH, TX,76135,32.604139,-97.046586,1,range_interpolation,4710,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Grand Prairie,4830464,111549,3032,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
84,4938 Flamingo Rd , Fort Worth, TX,76119,32.687816,-97.262228,1,range_interpolation,4938,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,104603,1017,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
85,4941 Miller Ave , Fort Worth, TX,76119,32.68865,-97.263029,1,range_interpolation,4941,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,104603,1017,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
86,7445 Beckwood Dr , Fort Worth, TX,76112,32.738641,-97.19584,1,rooftop,7445,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106513,2010,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
87,745 Brookfield Dr , Hurst, TX,76053,32.8158,-97.157071,1,rooftop,745,Tarrant County,US,Tarrant County,2019,48,48439,Hurst,4835576,113407,1012,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
88,6536 WESTRIDGE DR , WATAUGA, TX,76148,32.883134,-97.242946,1,rooftop,6536,Tarrant County,US,Tarrant County,2019,48,48439,Watauga,4876672,113803,3024,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
89,716 Eagle Dr , Saginaw, TX,76131,32.869698,-97.359458,1,rooftop,716,Tarrant County,US,Tarrant County,2019,48,48439,Saginaw,4864112,114003,1000,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
